	Case1	Case2	Case3	Case4	Ctrl1	Ctrl2	Ctrl3	Ctrl4
Cox5b	280.76	785.61	675.28	652.82	278.86	186.60	206.20	159.37
Cox6a1	625.72	1618.80	2756.74	2887.93	1284.53	759.90	731.95	379.94
Cox6b1	519.35	1767.11	2904.81	2074.69	855.69	652.91	913.94	430.93
Cox6b2	0.30	0.89	0.97	81.52	717.74	396.95	426.97	460.92
Cox6c	1238.24	4522.67	3332.26	952.20	2628.70	933.88	1794.93	1078.26
Cox7a2	763.70	2925.34	1806.00	2682.41	289.89	429.94	412.49	317.95
Cox7a2l	768.89	2177.79	962.83	1156.49	1593.93	2060.98	1978.03	1335.30
Cox7b	183.02	930.88	330.22	1567.76	69.97	172.98	119.99	69.99
Cox7c	1136.75	4152.84	4097.06	2935.87	81.55	26.30	70.31	36.03
Cox8a	712.92	1697.83	2240.46	1627.45	2798.98	1586.79	1894.87	1194.80
Cpd	22.34	5.85	526.23	490.01	945.66	1175.85	912.94	241.96
Cpeb1	134.15	4.72	4.87	1.02	11571.79	12093.38	7996.46	5289.12
Cpeb2	642.96	367.86	200.67	1276.12	517.81	542.93	265.98	41.99
Cpeb3	85.28	11.14	124.69	167.35	2863.96	1987.32	1861.46	1087.87
Cpeb4	90.98	333.71	243.53	474.46	3351.78	4489.40	2944.81	1673.72
Cphx2	2.52	8.60	1.00	8.74	37.51	32.54	28.33	24.78
Cphx3	242.76	890.28	610.77	432.62	12263.00	13642.59	10559.16	9507.63
Cpm	1.92	3.91	7.80	3.76	911.67	1166.01	757.94	1213.68
Cpne1	36.41	7.88	468.15	1045.30	1255.22	416.78	1059.70	612.35
Cpne3	3.97	9.91	1641.01	206.49	1023.76	1117.98	597.61	592.58
Cpne5	2.83	31.62	8.45	1.68	517.91	11.88	186.59	62.52
Cpne8	302.29	67.59	119.07	25.10	67.98	93.90	141.71	52.63
Cpne9	4.25	18.76	4.26	10.44	2433.45	4551.83	3353.15	1080.92
Cpox	53.92	395.62	55.95	9.75	3309.86	2814.39	2049.86	1594.73
Cpped1	181.46	1.95	8.78	495.18	236.91	238.97	72.00	20.00
Cpsf1	790.53	963.08	95.46	200.62	144.95	165.98	121.99	49.99
Cpsf2	1570.52	397.14	2155.71	1740.00	4919.21	3322.56	3983.74	3337.44
Cpsf3	843.23	2484.73	5333.27	1837.86	267.48	586.99	255.03	293.13
Cpsf4	1.92	903.56	211.38	240.74	208.92	618.92	631.96	459.92
Cpsf4l	136.02	386.69	0.97	15.22	3727.64	5448.27	3993.74	3328.45
Cpsf6	232.85	2909.74	1602.41	2470.10	625.77	988.87	640.96	268.96
Cpsf7	72.82	651.81	122.74	38.17	195.93	170.81	124.99	23.00
Cptp	1.92	90.75	1254.65	763.56	690.75	1034.86	476.97	171.97
Cr1l	1.92	13.50	10.17	8.10	330.07	841.82	310.74	387.19
Cracr2a	0.65	286.00	0.98	4.37	127.38	766.86	233.54	249.31
Cramp1l	5.83	346.19	614.63	2.97	546.03	1480.55	916.07	491.75
Crat	2.50	184.42	0.97	6.73	31.99	142.98	38.00	62.99
Crb3	111.15	3.90	1239.07	1283.96	648.76	1372.81	1494.90	1054.82
Crbn	7.67	20.21	77.66	822.93	2533.94	3230.11	2517.12	1468.63
Crcp	917.02	1427.55	698.44	915.02	84.97	339.95	396.97	283.95
Creb1	18.21	604.97	0.97	287.72	16.17	337.06	82.48	205.79
Crebbp	2306.53	4686.24	3356.30	3656.12	23466.95	20360.34	17508.48	12299.42
Crebl2	1.87	1.95	4.94	10.80	9.11	67.43	4.05	9.00
Crebrf	8.62	700.60	2817.14	625.34	1881.31	1338.82	740.95	1042.83
Crebzf	252.01	8.31	371.14	38.17	269.90	171.98	62.00	94.98
Creg1	204.10	757.19	177.29	87.10	33.99	7.00	26.00	31.99
