	Case1	Case2	Case3	Case4	Ctrl1	Ctrl2	Ctrl3	Ctrl4
0610009B22Rik	177.29	214.60	228.76	372.79	1409.57	1462.10	1065.13	1011.29
0610009O20Rik	64.14	371.46	1.95	2.94	88.97	53.99	211.99	92.98
0610010K14Rik	137.93	1170.51	962.09	480.23	604.80	903.42	599.60	424.89
0610012G03Rik	0.95	102.16	2.95	10.64	320.68	119.83	128.05	152.98
0610030E20Rik	6.93	66.82	105.34	157.49	286.68	231.97	235.89	102.28
0610037L13Rik	368.65	27.32	1066.65	1006.03	410.85	994.87	578.96	458.92
0610040B10Rik	6.14	1.09	1.36	62.35	18.66	19.12	5.31	9.93
1110003F10Rik	6.22	6.24	35.92	5.89	141.92	76.68	66.62	43.02
1110004E09Rik	140.86	52.69	509.46	320.99	4746.27	3977.47	2487.83	1882.69
1110004F10Rik	1779.42	648.81	931.25	2657.94	381.30	304.40	350.74	394.26
1110008F13Rik	14.90	134.23	245.61	189.76	1149.12	1208.45	1136.35	857.74
1110008L16Rik	263.51	226.43	782.27	317.12	415.85	1170.11	486.97	686.58
1110008P14Rik	201.23	192.30	57.54	374.17	33.18	32.74	38.42	30.53
1110012L19Rik	93.03	1.38	221.14	247.59	2834.39	4367.12	3416.10	2413.60
1110032A03Rik	12.28	0.86	33.29	118.59	33.04	218.97	91.55	59.05
1110034G24Rik	423.53	78.06	263.98	257.38	317.91	190.97	552.96	232.96
1110038F14Rik	188.77	328.83	848.45	193.77	387.86	211.97	143.99	147.98
1110046J04Rik	1.35	4.71	4.87	0.98	22.99	8.00	3.00	9.00
1110051M20Rik	6.92	892.26	281.14	138.60	429.84	376.95	658.96	362.94
1110059E24Rik	331.54	1469.51	903.98	389.49	554.80	1358.82	822.93	837.86
1110059G10Rik	1.90	338.66	211.45	470.97	1319.84	1010.86	946.85	851.90
1110065P20Rik	30.21	68.30	1.54	1.38	32.30	91.85	52.23	27.21
1190007I07Rik	59.34	1.95	10.72	71.03	77.48	212.17	43.76	61.79
1300002E11Rik	61.43	1.97	3.74	1.31	646.96	795.60	722.59	594.90
1500002C15Rik	33.84	54.71	51.81	124.27	334.67	195.61	111.47	99.79
1500004A13Rik	341.49	16.69	162.59	69.98	500.28	570.42	394.19	330.37
1500011B03Rik	55.98	31.52	1.96	56.72	162.51	279.24	96.28	139.43
1500011K16Rik	42.16	72.68	42.86	302.74	19.99	2.00	15.00	14.00
1500015A07Rik	40.33	385.82	336.07	241.85	298.89	378.95	281.98	242.96
1600002H07Rik	155.43	7.81	845.39	529.31	663.30	706.85	299.08	191.95
1600010M07Rik	9.81	183.93	456.84	92.18	28.99	38.97	24.04	43.16
1600012H06Rik	0.96	18.95	557.19	1.12	156.78	105.41	95.97	65.25
1600014C10Rik	50.84	1.16	12.35	111.56	146.95	146.98	462.97	76.99
1600020E01Rik	19.63	152.50	275.88	17.10	52.50	111.40	54.98	47.41
1600029O15Rik	0.97	49.18	56.65	7.78	61.05	31.31	7.48	15.30
1700001L05Rik	16.88	8.10	1.09	512.44	858.69	505.93	432.97	237.96
1700003I16Rik	2.85	0.89	4.73	6.85	9.25	9.94	7.18	1.03
1700006J14Rik	14.04	16.59	23.97	250.95	13.99	191.80	43.25	257.29
1700007J10Rik	0.50	2.30	1.39	6.10	23.24	18.32	7.95	2.78
1700012D14Rik	21.21	4.55	66.27	5.01	97.08	41.29	21.17	7.23
1700015I17Rik	10.03	1.13	4.26	17.62	61.71	68.04	43.63	59.70
1700016K19Rik	78.57	8.16	6.56	114.47	31.99	1.00	45.00	53.99
1700017B05Rik	2.62	2006.82	1.04	51.21	1074.59	1027.83	768.93	749.87
1700018B24Rik	37.27	255.65	93.70	144.93	2710.01	2707.64	2077.86	1951.67
1700019D03Rik	0.66	661.59	348.84	635.08	1232.50	1681.12	1005.03	779.65
1700020I14Rik	5.07	975.79	385.44	841.99	198.28	194.00	89.65	109.77
1700021F05Rik	852.82	2051.17	2830.98	1586.18	12.09	76.99	185.99	90.98
1700024B05Rik	51.74	47.33	45.12	45.43	939.05	1003.83	824.23	447.84
1700025G04Rik	17.44	88.21	1.00	28.41	741.41	672.42	638.53	465.89
1700025N23Rik	1.20	2.54	0.80	14.20	23.07	42.02	22.80	6.90
1700028D13Rik	4.59	1.73	2.92	8.81	41.98	9.00	25.00	17.62
1700028J19Rik	64.32	2.99	349.25	0.93	5.34	35.06	30.87	104.21
1700028K03Rik	0.74	58.59	200.98	57.74	164.81	380.16	405.74	135.37
1700029E06Rik	1.77	2.68	8.08	7.52	181.45	117.91	120.12	96.74
1700029P11Rik	216.95	333.71	503.35	806.39	135.79	139.80	27.19	77.99
1700030C10Rik	31.62	21.84	114.01	18.61	8.00	37.00	33.14	30.99
1700030J22Rik	4.74	49.93	17.48	12.94	2607.05	2288.70	1170.92	791.87
1700030K09Rik	19.22	278.69	471.06	95.47	1784.23	1501.02	1591.79	1061.18
1700030M09Rik	0.59	2.94	15.15	2.95	16.92	5.01	5.37	2.01
1700030N03Rik	21.08	69.28	78.90	24.47	29.93	40.99	19.00	52.99
1700034H15Rik	7.45	7.94	69.23	9.72	11.13	14.31	9.06	5.12
1700034P13Rik	4.75	282.43	33.02	26.33	15.06	13.85	11.01	5.07
1700037C18Rik	2.69	52.21	12.30	12.35	217.01	160.17	128.14	90.03
1700037H04Rik	10.29	481.79	366.07	332.73	216.92	748.90	397.97	197.97
1700047G07Rik	0.63	1.28	7.32	1.73	90.89	46.62	43.67	49.32
1700047I17Rik2	18.57	69.27	186.65	1258.74	1521.91	1549.72	916.98	542.88
1700048O20Rik	3.86	2.51	2.25	8.88	352.94	496.81	267.39	347.68
1700051O22Rik	1.92	12.68	40.14	7.06	40.99	21.00	24.00	16.00
1700054O19Rik	9.78	32.50	80.76	61.31	73.00	155.28	73.49	78.67
1700063D05Rik	30.61	162.03	56.59	2.33	74.22	68.29	39.11	23.78
1700066M21Rik	3.57	569.57	2.92	546.75	1784.35	1719.77	1797.88	1164.81
1700071K01Rik	2.87	9.77	20.48	11.74	19.99	16.00	31.03	16.00
1700088E04Rik	11.73	0.98	1.34	15.52	69.11	231.78	78.90	24.63
1700095J07Rik	7.53	4.98	11.63	11.43	42.87	19.03	20.62	6.08
1700112J16Rik	3.93	1.44	11.84	2.48	12.30	9.38	7.64	15.55
1700113A16Rik	33.28	94.43	74.72	41.10	23.04	9.62	18.76	24.34
1700120C14Rik	152.93	51.85	187.62	32.25	85.49	193.68	27.24	21.23
1810009A15Rik	367.70	1138.43	2439.05	1187.28	481.05	580.04	313.19	122.08
1810013D15Rik	21.46	102.81	550.42	119.18	623.56	427.46	233.76	188.45
1810013L24Rik	454.20	1366.07	308.79	1106.83	6282.71	5985.20	4334.71	3659.39
1810014B01Rik	6.92	162.50	13.66	16.96	15.59	30.96	19.00	7.21
1810019D21Rik	311.27	699.75	20.46	7.83	133.06	129.04	108.39	23.57
1810022K09Rik	575.79	609.20	872.83	719.55	81.75	107.99	109.10	99.30
1810026B05Rik	1.92	3.90	2.92	276.14	31.99	48.69	6.30	22.00
1810030O07Rik	6.27	5.49	31.04	493.16	192.97	135.50	87.07	126.72
1810037I17Rik	7.67	288.83	379.90	679.17	2904.94	3252.57	3133.79	3376.44
1810043G02Rik	14.40	5.99	22.61	4.36	888.71	1711.82	1011.52	648.46
1810055G02Rik	0.35	933.54	809.49	69.03	441.84	382.95	239.98	106.98
1810058I24Rik	3.83	722.18	15.59	393.42	1117.34	1998.40	1349.33	1081.82
1810064F22Rik	1.10	13.37	14.74	5.55	49.33	14.24	22.50	9.75
2010001K21Rik	5.75	4.13	4.23	2.94	3144.82	2842.68	1673.16	821.10
2010107E04Rik	685.13	1207.02	1089.06	1406.28	355.87	132.98	361.98	209.97
2010107G23Rik	3.56	382.50	2.92	46.00	17145.74	14165.20	10697.27	7254.78
2010109I03Rik	11.14	8.48	33.45	10.92	18.48	14.30	7.17	16.59
2010110K18Rik	155.42	200.54	1.50	197.98	47.04	1.02	16.09	62.09
2010111I01Rik	98.70	19.52	26.30	15.66	910.89	595.56	444.93	374.28
2010300C02Rik	590.26	75.46	189.45	78.70	75.97	14.00	86.99	43.63
2010315B03Rik	18.26	4.28	14.10	7.13	13.69	14.51	6.19	13.52
2200002D01Rik	134.63	159.18	155.96	340.79	18.80	25.53	39.65	20.79
2210016F16Rik	80.49	14.01	454.91	17.62	189.59	181.88	70.03	36.73
2210408I21Rik	182.43	0.82	330.70	123.31	144.95	385.95	53.00	165.97
2210409E12Rik	815.94	1251.43	1421.10	2906.89	17.37	26.15	33.50	18.17
2210418O10Rik	55.35	166.20	142.04	77.41	622.02	998.46	520.09	500.25
2310009A05Rik	44.08	1.51	3.72	34.24	278.79	30.58	87.99	44.14
2310011J03Rik	1.92	78.06	423.74	1043.22	77.97	5.00	89.99	40.99
2310015K22Rik	187.81	1.95	0.97	0.98	18.02	112.07	16.02	53.99
2310022A10Rik	428.71	249.90	28.81	238.48	2180.35	2431.78	1622.88	1628.54
2310022B05Rik	56.08	5.09	2.75	126.46	14106.85	9154.78	9402.38	6914.85
2310033P09Rik	33.19	74.16	267.44	189.32	919.52	931.07	818.56	457.59
2310035C23Rik	365.20	359.46	482.31	767.37	850.81	1170.96	1355.96	1101.01
2310039L15Rik	18.88	308.12	318.21	103.47	12.34	17.73	15.01	9.22
2310043P16Rik	2.11	8.75	3.14	1.18	273.61	98.66	22.63	64.73
2310057M21Rik	280.08	6.31	1.16	555.17	386.31	362.97	416.60	451.31
2310058D17Rik	3.80	14.67	12.04	80.15	180.71	229.77	22.39	124.98
2310061I04Rik	142.77	11.15	21.43	0.98	3935.56	4852.35	4105.73	2590.57
2310068J16Rik	3.02	8.60	3.36	4.11	7.04	13.04	4.01	13.09
2410002F23Rik	299.92	1172.86	1934.59	608.51	52.98	29.00	4.00	63.99
2410004B18Rik	114.99	156.12	141.25	0.98	510.81	268.96	61.00	123.98
2410006H16Rik	521.27	1048.95	1301.42	564.67	235.91	106.99	174.99	78.99
2410015M20Rik	69.95	1994.46	1647.23	1163.59	3.00	80.99	182.99	117.98
2410018L13Rik	77.91	2.29	3.65	11.43	83.41	8.98	9.75	3.06
2410089E03Rik	78.57	836.22	77.99	154.65	6541.15	4822.35	4410.23	3130.94
2410131K14Rik	238.68	408.65	14.69	50.11	275.26	520.14	213.75	112.30
2410141K09Rik	152.13	89.33	332.88	914.07	570.65	1056.86	753.78	443.50
2500002B13Rik	2.36	24.22	81.29	0.11	3119.52	4021.91	2030.92	1518.58
2500004C02Rik	68.97	36.45	173.00	118.79	229.97	190.96	79.91	76.58
2510046G10Rik	95.01	210.89	179.17	21.55	24.99	64.19	123.46	69.13
2600014E21Rik	6.90	25.48	1.15	3.93	11.02	20.47	10.81	5.07
2610001J05Rik	0.96	632.30	882.55	2.94	2197.20	2038.73	1977.86	1463.75
2610002M06Rik	0.96	35.85	0.90	0.98	501.82	622.92	237.98	122.98
2610005L07Rik	107.82	8.52	229.03	135.96	367.30	84.57	53.38	19.57
2610021A01Rik	110.91	86.39	856.68	865.20	69.06	321.12	205.08	127.78
2610037D02Rik	3.86	8.88	14.96	8.81	279.89	104.60	145.35	141.42
2610044O15Rik8	201.17	190.12	263.09	811.58	120.92	248.22	95.36	45.64
2610507B11Rik	343.04	120.02	50.65	432.55	1845.33	939.87	870.94	811.86
2610524H06Rik	20.60	154.35	271.95	242.70	361.44	362.99	322.28	225.23
2610528J11Rik	66.12	1198.41	200.68	710.34	174.31	73.99	141.99	99.98
2700038G22Rik	259.63	15.35	429.17	306.32	48.56	7.50	27.37	15.60
2700049A03Rik	363.16	2.70	784.16	577.72	17494.62	20428.24	14854.01	9144.47
2700060E02Rik	3.56	100.95	75.10	191.23	555.31	913.48	1294.34	590.86
2700062C07Rik	912.21	635.43	1366.16	1989.96	1375.54	1367.51	1364.29	995.49
2700078F05Rik	26.10	157.28	365.33	9.83	5.27	45.56	25.11	21.96
2700097O09Rik	256.74	411.61	12.11	475.79	757.16	310.57	786.84	633.67
2700099C18Rik	4.26	5.50	228.31	51.97	437.33	261.04	265.81	301.03
2810004N23Rik	265.95	1039.33	2399.09	1417.77	973.75	728.11	725.70	586.80
2810013P06Rik	2.87	334.62	43.91	295.18	119.78	3.02	10.01	55.99
2810021J22Rik	7.09	186.40	77.93	3.34	53.97	35.75	40.00	30.99
2810025M15Rik	216.56	969.91	327.30	254.44	554.80	926.88	365.98	271.96
2810039B14Rik	15.64	43.60	38.93	39.09	445.13	196.91	225.80	163.34
2810402E24Rik	1.33	1.98	2.93	12.33	76.97	10.00	30.00	5.60
2810403A07Rik	3.61	1396.15	579.51	40.07	4367.90	2859.43	2225.06	1802.26
2810403D21Rik	153.18	287.26	228.35	110.35	510.55	906.22	741.65	214.79
2810408I11Rik	82.92	176.88	351.99	1.96	2331.33	1407.36	1082.25	1162.12
2810414N06Rik	1.94	1.00	0.87	2.20	18.00	23.00	17.00	6.00
2810428I15Rik	136.15	132.44	26.30	237.81	107.96	4.00	37.00	30.99
2810428J06Rik	2.00	1.01	1.08	1.10	7.68	5.28	7.82	3.23
2810429I04Rik	52.70	604.81	77.35	70.41	165.43	213.40	147.72	125.87
2810474O19Rik	1055.65	1263.91	3510.66	1726.18	19779.11	16180.47	14558.06	10168.76
2900026A02Rik	0.97	10.84	15.72	0.81	1740.28	1412.55	1208.16	1079.94
2900076A07Rik	27.01	27.13	79.15	0.50	50.50	211.02	57.24	42.23
2900097C17Rik	37.55	2957.65	2027.61	1750.65	116.80	458.58	244.29	243.65
3000002C10Rik	1.07	10.32	28.91	577.82	125.88	99.50	138.41	70.04
3010003L21Rik	1.27	0.98	17.16	1.99	41.82	7.07	17.39	24.76
3110001I22Rik	10.24	5.79	470.50	393.41	8242.30	7774.47	8245.87	6309.76
3110002H16Rik	833.57	3370.73	4601.71	5027.75	1401.35	1185.12	790.41	593.13
3110009E18Rik	0.71	3.96	138.83	133.88	554.80	272.14	232.17	328.87
3110040N11Rik	25.87	139.53	625.38	192.79	142.95	248.97	136.99	118.98
3110043O21Rik	128.40	6.29	8.13	1.96	653.76	539.93	478.97	407.93
3110053B16Rik	2.73	6.82	7.03	31.75	23.36	10.35	5.23	3.00
3110062M04Rik	149.41	424.75	437.87	0.91	102.44	246.19	229.70	267.62
3110082I17Rik	43.38	27.32	13.65	17.62	252.96	321.78	116.52	79.25
3830406C13Rik	0.96	493.74	146.94	205.51	381.03	726.93	562.43	357.63
4632404H12Rik	10.99	17.00	15.29	2.29	127.62	80.06	26.92	27.95
4632411P08Rik	0.99	7.15	1.00	5.93	34.91	33.72	6.09	8.29
4632415L05Rik	8.23	2.00	21.10	0.92	13.36	12.08	6.17	4.35
4632432E15Rik	31.80	147.67	117.37	55.41	4074.08	1767.87	1376.26	1475.60
4732416N19Rik	0.32	4.45	1.14	0.99	212.57	636.12	283.42	374.17
4732419C18Rik	3.56	4.45	10.83	0.98	46.59	11.71	20.59	2.12
4732463B04Rik	24.20	20.49	21.03	19.40	77.89	19.58	23.92	29.64
4732465J04Rik	6.86	10.95	2.98	9.00	27.94	16.02	4.02	8.02
4732471J01Rik	70.15	24.39	108.69	39.93	129.54	113.87	29.90	58.31
4732487G21Rik	12.15	58.79	40.17	34.76	166.40	118.25	139.14	73.57
4833403J16Rik	7.91	22.50	1.75	23.79	19.11	8.05	5.16	12.49
4833420G17Rik	2.39	663.75	1110.35	724.85	3512.31	4877.59	2449.10	2716.61
4833439L19Rik	251.91	545.92	87.54	37.81	688.41	678.17	696.14	399.18
4921514A10Rik	13.52	88.96	21.90	4.30	46.20	30.73	11.87	14.12
4921517D22Rik	6.34	0.98	3.11	5.88	66.02	15.94	12.01	6.00
4921518K17Rik	1.92	0.98	6.07	0.94	36.93	101.29	64.05	41.04
4921524J17Rik	545.23	574.73	484.95	721.25	8064.33	12431.67	7843.08	5879.33
4930402H24Rik	532.90	689.17	710.59	1729.23	7119.90	5655.32	6224.13	3619.51
4930427A07Rik	22.19	25.37	767.48	184.13	121.18	57.27	1.08	66.82
4930432K21Rik	42.16	0.98	74.03	266.38	1350.51	580.92	1205.92	496.92
4930444P10Rik	34.62	445.92	658.03	160.78	236.84	213.42	214.06	169.89
4930453N24Rik	282.97	724.49	156.22	657.37	2032.45	3174.68	1479.37	877.31
4930506C21Rik	41.20	76.11	138.32	71.44	26.99	22.00	22.00	17.00
4930509G22Rik	6.82	45.38	103.26	33.73	115.20	28.88	61.01	33.11
4930511M06Rik	6.33	20.85	22.64	21.90	14.82	2.01	6.00	12.00
4930512B01Rik	14.70	33.32	34.11	9.31	96.68	78.33	39.78	19.49
4930513N10Rik	13.29	2.93	26.73	16.83	27.06	3.00	65.49	26.23
4930516K23Rik	6.98	4.11	7.57	1.99	15.64	12.86	7.54	8.54
4930519F16Rik	72.76	13.69	2.11	1.41	405.62	204.56	117.76	87.05
4930519G04Rik	1.06	13.36	14.59	1.96	66.87	63.25	34.23	37.87
4930520O04Rik	3.22	63.79	35.17	9.77	23.74	32.99	9.68	39.67
4930522L14Rik	629.85	75.84	404.76	2090.75	813.29	1099.76	833.13	563.23
4930524O07Rik	1.98	15.28	27.28	10.18	706.63	394.77	160.65	39.75
4930526A20Rik	33.16	40.53	73.40	21.77	15.19	10.68	16.10	14.10
4930528D03Rik	6.00	71.70	4.32	4.03	353.87	211.84	150.12	147.22
4930528J11Rik	0.96	3.90	1.06	3.93	20.59	11.70	5.06	7.04
4930533N22Rik	6.25	11.36	2.36	10.93	19.75	16.46	6.09	4.07
4930533O14Rik	175.04	6.83	72.01	23.49	7.00	44.99	1.00	16.00
4930539E08Rik	2.91	6.01	21.62	0.79	316.16	633.40	448.05	308.81
4930555F03Rik	2.13	2.16	1.03	2.93	5.00	31.00	11.00	15.00
4930556M19Rik	4.36	2.98	1.18	2.18	71.49	30.09	36.69	40.33
4930556N13Rik	1.67	6.36	0.97	0.91	58.98	23.00	51.83	31.81
4930558N11Rik	21.93	32.17	69.95	7.54	196.58	41.85	63.24	31.93
4930562C15Rik	0.59	1.12	88.09	1.61	29.60	44.33	31.31	45.72
4930566F21Rik	19.95	3.91	5.06	12.34	69.27	31.25	26.86	17.15
4931406C07Rik	92.98	74.82	404.47	70.32	2043.82	1423.19	1402.10	797.80
4931406P16Rik	327.40	4.88	149.04	14.24	8210.32	7839.19	6480.50	4259.36
4931409K22Rik	23.96	47.81	383.23	0.98	401.85	743.90	499.97	245.96
4931428F04Rik	4.63	16.76	136.36	11.03	406.58	416.63	317.51	78.13
4931440F15Rik	2.40	6.83	30.66	28.55	64.35	23.83	6.06	10.75
4931440P22Rik	81.97	251.39	251.52	219.87	52.22	25.22	43.67	61.95
4932438A13Rik	5.02	368.84	82.80	74.38	2408.30	2585.91	2100.35	2193.47
4932443I19Rik	4.58	2.93	0.98	9.79	12.69	13.01	8.47	9.01
4933406B17Rik	16.17	8.61	4.66	11.08	83.24	59.27	26.93	34.46
4933408J17Rik	5.92	6.83	11.69	5.87	14.99	12.00	28.00	5.00
4933408N05Rik	60.97	188.92	238.69	67.81	18.28	18.74	97.94	65.80
4933416M07Rik	21.08	93.95	176.16	78.34	18.67	39.28	19.62	50.45
4933417G07Rik	2.02	2.28	15.55	10.31	15.96	12.67	15.77	8.55
4933421O10Rik	7.77	19.28	21.32	5.78	45.43	24.34	22.28	8.54
4933427D06Rik	0.62	6.73	2.82	0.98	30075.22	48854.05	27426.27	20997.89
4933427D14Rik	74.17	448.32	90.38	84.16	100.96	156.98	152.99	156.97
4933427I04Rik	162.98	124.23	210.30	229.26	170.25	90.63	71.31	32.44
4933430I17Rik	120.74	306.39	232.81	136.47	66.29	37.99	54.00	18.00
4933431E20Rik	19.35	24.04	44.02	18.00	354.18	359.20	293.74	280.32
4933431K23Rik	2.00	43.45	4.79	10.50	16.98	15.71	16.15	10.62
4933434E20Rik	305.34	637.11	1173.80	455.60	1516.72	2779.22	2303.99	1344.67
4933436I20Rik	2.49	22.12	0.98	2.46	40.24	14.15	10.00	42.92
4933439C10Rik	18.94	18.96	11.80	4.33	21.70	5.43	8.87	2.33
4933439K11Rik	3.95	2.88	15.49	0.98	26.30	8.67	13.83	9.75
5031425E22Rik	3.68	1.03	12.19	6.98	15.36	6.87	9.27	40.89
5031439G07Rik	193.56	1224.59	2085.58	1815.35	772.72	727.90	487.97	192.97
5430403G16Rik	367.88	49.72	104.06	559.39	106.90	422.85	108.24	142.37
5430405H02Rik	3.73	148.58	1324.82	84.76	2264.91	2745.04	1032.74	1281.55
5430416N02Rik	42.96	171.39	376.59	24.68	1863.76	2308.81	1398.49	1317.69
5430421F17Rik	2.54	9.22	7.44	0.98	5.78	8.00	9.53	3.32
5530400K19Rik	3.10	17.11	23.43	3.39	67.30	63.46	51.58	70.24
5530601H04Rik	240.43	584.48	732.75	2.32	271.02	788.47	469.12	495.97
5730455P16Rik	1.04	10.51	3.14	4.39	91.02	71.31	114.14	88.70
5730480H06Rik	1.19	3.53	2.92	11.90	3705.69	6557.22	3626.76	2560.58
5730507A11Rik	18.25	1.13	9.82	41.83	11.90	16.70	5.12	1.01
5730508B09Rik	24.12	163.93	0.88	262.35	475.83	842.89	727.95	312.95
5830417I10Rik	196.96	51.26	78.85	5.21	759.71	314.51	623.60	121.57
5830487J09Rik	11.50	44.03	67.33	58.46	205.15	100.43	80.55	93.01
5930420M18Rik	0.86	3.72	1.93	9.52	8.87	6.17	1.64	6.17
6030408B16Rik	1.93	5.51	1.97	2.44	9.56	9.92	15.04	21.93
6030443J06Rik	9.88	34.28	20.14	3.33	455.61	438.32	471.86	157.71
6030458C11Rik	86.92	143.87	47.32	58.89	1595.67	1719.88	1313.34	822.91
6330403N20Rik	1.25	1.21	4.17	1.41	49.43	13.18	38.88	31.80
6330408A02Rik	3.26	4.24	28.89	4.07	315.84	17.00	257.28	163.97
6330410L21Rik	0.90	2.57	16.33	1.70	88.97	71.16	42.00	54.20
6330549D23Rik	0.99	33.21	40.26	9.77	233.85	30.94	23.69	116.12
6330562C20Rik	10.96	12.99	74.91	258.21	383.86	209.94	158.90	170.97
6430562O15Rik	9.39	11.59	1.90	7.51	97.70	21.17	8.03	11.03
6430590A07Rik	69.60	937.58	151.90	29.48	113.95	124.99	73.96	61.85
6720489N17Rik	5.21	107.31	12.17	511.02	48.30	106.93	175.48	112.31
6820431F20Rik	435.25	1015.56	786.10	2732.45	1765.65	1464.03	1541.95	915.06
8030462N17Rik	3.32	36.10	9.74	0.90	1366.50	1669.78	1605.89	1139.81
8430429K09Rik	0.50	2.26	12.34	0.98	32.99	216.54	126.23	68.78
9030607J07Rik	16.52	23.24	48.51	23.04	36.71	13.37	12.49	21.98
9030624J02Rik	303.95	552.10	847.56	1293.93	1579.07	3201.97	2312.82	1865.18
9130011E15Rik	14.73	1.95	973.14	425.32	1378.50	446.94	804.95	428.93
9130017K11Rik	2.05	22.44	3.79	2.94	99.53	101.99	35.00	20.00
9130023H24Rik	7.37	0.88	0.84	37.19	349.43	705.91	372.70	237.95
9130024F11Rik	34.93	8.78	2.92	3.91	11.00	94.99	33.00	96.98
9130204K15Rik	9.26	428.13	182.59	264.35	1638.23	1597.60	1503.15	1110.55
9130221F21Rik	0.43	1.34	0.83	4.30	9.54	20.91	14.82	3.19
9130221H12Rik	0.43	76.42	78.78	14.59	235.94	10.78	16.28	12.45
9130230L23Rik	12.82	34.74	18.63	17.35	27.61	7.58	4.19	13.62
9130401M01Rik	305.67	503.88	488.03	764.31	1.00	155.98	99.99	10.00
9230110C19Rik	298.96	1.38	465.33	7.93	291.03	217.97	142.99	62.99
9230114K14Rik	6.87	81.99	93.90	114.67	234.50	243.16	222.64	185.66
9230116N13Rik	1.10	9.27	35.48	4.33	38.77	11.68	10.34	19.12
9330104G04Rik	2.67	5.81	10.20	2.67	13.57	45.10	11.38	18.31
9330121K16Rik	1.85	0.83	20.22	10.12	7.03	5.09	4.04	5.04
9330136K24Rik	23.79	56.42	14.27	12.82	46.36	22.59	18.36	5.78
9330159F19Rik	0.64	2.81	7.83	3.20	102.40	31.24	37.76	1.22
9330159M07Rik	426.43	1523.27	1126.37	717.38	18.46	31.88	12.28	21.20
9330162G02Rik	67.85	49.21	16.02	128.03	47.83	65.56	31.29	32.38
9330175E14Rik	3.29	2.93	0.98	0.98	102.05	75.21	61.20	31.88
9430015G10Rik	753.60	1557.45	1522.89	351.83	856.87	1350.30	616.49	535.95
9430025C20Rik	16.26	20.09	22.85	3.36	21.17	14.98	5.24	7.43
9430034N14Rik	7.99	11.61	7.25	6.53	44.71	20.80	18.29	5.40
9430037O13Rik	22.44	96.85	1.95	92.97	1.00	24.00	47.00	35.99
9430038I01Rik	5.82	244.13	355.94	146.59	579.51	403.91	628.25	438.29
9430062P05Rik	8.88	19.80	72.02	11.17	118.63	49.72	67.76	32.03
9430065F17Rik	28.45	13.86	85.29	14.36	92.03	34.70	36.76	23.39
9430091E24Rik	13.42	4.49	38.62	6.82	7.84	8.04	39.35	7.21
9530056K15Rik	2.95	0.98	5.85	9.79	49.79	256.12	137.16	27.94
9530068E07Rik	0.96	131.77	46.76	719.29	3469.73	3684.51	2855.81	1636.73
9530077C05Rik	0.48	4.30	6.82	9.79	22.99	33.00	32.00	17.00
9530082P21Rik	2.09	1.42	372.74	81.40	36.30	10.29	124.20	87.56
9830004L10Rik	33.67	724.02	26.74	55.78	215.92	455.77	278.98	704.67
9830107B12Rik	0.25	2.93	0.98	4.89	12.00	13.15	9.05	5.00
9930021J03Rik	31.62	756.22	6.19	547.05	22.99	479.94	153.99	24.00
9930104L06Rik	0.30	403.98	399.85	36.21	235.94	114.10	111.24	36.07
A130010J15Rik	2.97	4.32	142.02	5.94	14.52	9.62	8.40	18.05
A230057D06Rik	2.92	20.20	1.84	3.98	3055.57	2167.88	1839.92	1748.28
A230059L01Rik	28.16	256.38	232.40	80.17	9.10	9.07	8.76	5.08
A230072C01Rik	2.13	34.07	7.79	69.03	41.98	82.99	86.99	104.98
A230072E10Rik	14.54	5.32	20.14	3.07	59.89	37.73	29.97	55.79
A230077H06Rik	3.90	2.03	5.97	13.73	75.40	49.35	40.01	25.64
A230083N12Rik	13.86	15.94	85.90	17.09	85.89	20.30	28.87	8.44
A230087F16Rik	11.58	3.80	31.22	7.38	405.54	209.19	173.83	98.59
A330032B11Rik	8.44	44.25	16.82	8.89	139.81	50.23	78.81	32.11
A330035P11Rik	20.99	5.16	1.00	4.68	5.60	28.54	5.00	16.00
A330069E16Rik	54.44	31.52	130.14	361.02	186.12	185.01	153.75	73.67
A430005L14Rik	1015.87	2814.46	2095.83	2823.55	2528.97	3702.57	2914.08	2014.60
A430010J10Rik	47.88	77.48	67.11	64.64	131.48	81.99	84.99	73.95
A430046D13Rik	6.92	39.87	22.05	9.43	290.35	428.96	144.12	170.06
A430078G23Rik	3.24	42.70	13.23	9.04	32.99	9.00	5.00	24.00
A430078I02Rik	0.96	0.82	2.19	1.12	29.99	15.01	20.00	7.00
A4galt	3.15	3.57	1.04	4.07	453.91	302.23	369.08	369.31
A530013C23Rik	16.82	82.58	16.57	81.32	151.28	238.94	115.58	83.99
A530032D15Rik	246.16	742.86	212.75	266.76	390.41	346.47	115.01	168.60
A530040E14Rik	278.61	651.14	3055.56	1318.83	9820.68	6531.21	4086.24	3214.26
A530083I20Rik	1.15	12.90	8.13	2.18	82.05	4.12	18.24	21.26
A630010A05Rik	3.83	0.98	51.63	16.19	13.99	49.99	4.00	37.99
A630075F10Rik	0.99	4.60	6.91	9.01	10.10	13.20	10.34	7.24
A730017L22Rik	56.62	135.17	92.59	70.65	66.93	84.82	76.18	49.29
A730081D07Rik	0.57	4.12	9.74	1.42	16.13	17.47	7.93	7.04
A830008E24Rik	23.22	15.83	9.40	7.09	349.76	924.32	421.27	296.14
