ProbeSet	log2(FC)	p-value
200820_at	 -0.2404	1.18e-01
200821_at	  0.1659	3.78e-01
200823_x_at	  0.2262	5.13e-02
200827_at	 -0.0668	6.22e-01
200828_s_at	  0.2277	1.32e-01
200832_s_at	 -0.5198	9.12e-02
200834_s_at	  0.1280	2.95e-01
200835_s_at	 -0.2434	1.92e-01
200837_at	 -0.6951	3.95e-02
200840_at	 -0.2843	3.24e-01
200841_s_at	 -0.1817	4.16e-01
200843_s_at	  0.3108	7.29e-02
200844_s_at	 -0.1874	5.81e-02
200847_s_at	 -0.3734	1.59e-01
200850_s_at	 -0.6856	4.04e-02
200851_s_at	  0.0536	5.85e-01
200852_x_at	 -0.0212	8.29e-01
200853_at	 -0.5271	5.24e-02
200856_x_at	  0.3276	1.07e-01
200857_s_at	 -0.0739	4.64e-01
200858_s_at	 -0.0157	9.01e-01
200860_s_at	 -0.0769	1.81e-01
200863_s_at	 -0.3490	5.07e-02
200865_at	  0.0184	7.92e-01
200867_at	 -0.2014	2.33e-01
200869_at	  0.0373	4.06e-01
200873_s_at	 -0.3368	1.30e-01
200874_s_at	  0.0555	5.66e-01
200875_s_at	 -1.0104	3.10e-02
200876_s_at	 -0.0387	7.56e-01
200879_s_at	  0.3045	1.35e-01
200880_at	 -0.5650	6.75e-02
200881_s_at	 -0.5229	7.95e-02
200885_at	 -0.3912	5.89e-02
200887_s_at	  0.2174	2.16e-01
200888_s_at	 -0.0556	5.02e-01
200889_s_at	 -0.4953	6.79e-02
200892_s_at	 -1.1827	4.10e-03
200893_at	 -1.1265	1.83e-02
200894_s_at	 -0.9210	1.32e-03
200898_s_at	  0.4143	1.88e-03
200899_s_at	  1.0492	4.00e-02
200900_s_at	  0.5504	5.83e-02
200905_x_at	 -0.6969	2.90e-04
200906_s_at	  0.1911	2.29e-01
200908_s_at	 -0.5028	7.88e-02
200911_s_at	 -0.0115	7.30e-01
200912_s_at	 -0.0909	5.69e-01
200913_at	 -0.1945	3.58e-01
200915_x_at	  0.0247	9.07e-01
200919_at	 -0.3722	3.71e-02
200920_s_at	  0.9408	3.39e-02
200922_at	  0.0132	9.11e-01
200923_at	  0.1100	3.11e-01
200924_s_at	  0.0438	4.24e-01
200925_at	 -0.0333	7.38e-01
200927_s_at	 -0.0072	9.76e-01
200928_s_at	  0.3218	1.47e-01
200936_at	 -0.0112	9.08e-01
200937_s_at	 -0.0554	5.99e-01
200939_s_at	  0.1526	3.47e-01
200940_s_at	 -0.0205	8.39e-01
200944_s_at	 -0.1941	1.41e-01
200947_s_at	 -0.4026	6.54e-02
200950_at	  0.1447	2.38e-01
200951_s_at	 -0.7594	1.33e-02
200953_s_at	 -1.8470	1.82e-03
200954_at	  0.1173	2.28e-01
200956_s_at	 -0.4218	7.40e-02
200958_s_at	  0.2466	3.74e-01
200964_at	 -0.0939	5.49e-01
200965_s_at	  0.1879	6.78e-02
200970_s_at	 -0.1027	6.40e-01
200972_at	 -0.5239	1.67e-01
200973_s_at	 -0.5006	5.66e-02
200975_at	  0.0624	7.61e-01
200976_s_at	 -0.1791	2.02e-02
200978_at	 -0.1849	1.56e-01
200979_at	  0.0573	4.91e-01
200981_x_at	  0.2197	7.74e-03
200985_s_at	  0.4232	4.61e-02
200988_s_at	 -0.5735	1.55e-03
200990_at	  0.0153	8.90e-01
200991_s_at	 -0.1800	2.09e-03
200993_at	 -0.9118	3.22e-02
200995_at	 -1.0094	3.29e-02
200998_s_at	  0.3317	1.04e-01
200999_s_at	  0.1171	1.00e-01
201000_at	 -0.2688	3.17e-02
201001_s_at	  0.4547	1.25e-01
201002_s_at	  0.8712	3.13e-02
201003_x_at	 -0.4487	4.86e-02
201004_at	  0.0645	4.76e-01
201008_s_at	  0.7307	3.71e-03
201012_at	 -0.7844	8.47e-02
201013_s_at	 -0.6644	2.96e-02
201016_at	 -1.2552	1.77e-02
201017_at	 -0.7573	9.67e-03
201018_at	 -0.2203	1.54e-01
201024_x_at	 -0.6790	6.80e-03
201025_at	 -0.6787	9.40e-03
201030_x_at	 -0.4381	1.06e-04
201031_s_at	 -0.0475	8.69e-01
201032_at	  0.0690	7.08e-01
201036_s_at	  0.1312	4.60e-01
201037_at	  0.1151	5.84e-01
201039_s_at	 -0.2102	3.77e-01
201040_at	  0.1656	2.70e-01
201042_at	  1.2031	1.13e-02
201047_x_at	 -0.2995	2.38e-02
201049_s_at	 -0.0358	5.80e-01
201050_at	  0.8488	1.25e-02
201051_at	  0.2358	2.54e-01
201052_s_at	  0.4540	1.74e-01
201053_s_at	  0.6045	1.11e-01
201058_s_at	  0.2035	3.32e-01
201059_at	 -0.2555	1.97e-01
201062_at	  0.2008	1.47e-01
201063_at	 -0.2101	1.35e-01
201065_s_at	  0.8836	4.80e-02
201067_at	  0.1009	2.86e-01
201068_s_at	  0.1068	4.65e-01
201070_x_at	 -0.1996	1.74e-01
201071_x_at	  0.0590	7.32e-01
201072_s_at	 -0.2646	4.09e-02
201074_at	 -0.3043	2.34e-01
201075_s_at	 -0.4170	1.26e-01
201076_at	 -0.1771	6.40e-02
201079_at	  0.4621	1.41e-02
201081_s_at	  0.2995	1.51e-01
201084_s_at	 -0.3713	3.52e-01
201086_x_at	 -0.1408	4.35e-01
201087_at	 -0.1368	2.52e-01
201088_at	 -1.3464	3.50e-02
201090_x_at	 -0.4308	2.87e-03
201091_s_at	 -0.1643	6.37e-01
201092_at	 -0.1807	2.37e-01
201093_x_at	  0.2174	1.03e-01
201094_at	 -0.0652	3.89e-01
201096_s_at	 -0.0597	6.99e-01
201098_at	  0.1311	4.90e-01
201099_at	  0.5613	1.35e-01
201100_s_at	  0.6395	2.26e-02
201102_s_at	  0.0837	1.87e-01
201103_x_at	 -0.3459	1.11e-02
201105_at	 -0.6059	1.05e-02
201108_s_at	  0.4271	7.99e-02
201110_s_at	  0.1976	2.20e-01
201112_s_at	 -0.5863	1.85e-01
201113_at	 -0.5657	9.93e-02
201114_x_at	 -0.0467	6.85e-01
201117_s_at	  0.1536	9.27e-02
201118_at	 -0.5059	3.90e-02
201124_at	  0.2087	2.73e-01
201125_s_at	  0.0833	4.20e-01
201126_s_at	 -0.0317	5.09e-01
201127_s_at	 -0.9720	7.33e-03
201128_s_at	 -1.0961	2.87e-02
201130_s_at	  0.4903	7.04e-02
201132_at	 -0.3106	4.03e-01
201136_at	 -0.3543	2.32e-02
201138_s_at	 -0.9251	3.54e-02
201139_s_at	 -0.6019	7.24e-02
201140_s_at	  0.0421	6.78e-01
201141_at	  1.1297	5.29e-03
201148_s_at	  0.2227	1.06e-01
201149_s_at	  0.2604	5.80e-02
201150_s_at	  0.2670	5.91e-02
201152_s_at	 -0.2245	4.63e-01
201153_s_at	 -0.1891	4.48e-01
