ProbeSet	log2(FC)	p-value
205549_at	  0.2527	9.60e-02
205550_s_at	 -0.1525	4.76e-02
205551_at	  0.3370	1.31e-01
205552_s_at	  0.3760	8.30e-02
205556_at	 -0.0223	8.28e-01
205557_at	  0.1633	3.70e-01
205559_s_at	  0.1157	2.32e-01
205561_at	  0.3345	5.62e-02
205563_at	  0.3335	8.11e-02
205565_s_at	 -0.0456	6.38e-01
205566_at	 -0.1439	1.41e-01
205569_at	 -0.0498	6.76e-01
205571_at	  0.1690	1.79e-01
205572_at	  0.0738	3.19e-01
205573_s_at	  0.0259	5.34e-01
205574_x_at	  0.0246	5.34e-01
205575_at	  0.4940	5.84e-02
205578_at	  0.0958	2.63e-01
205579_at	  0.3494	1.34e-01
205582_s_at	  0.1447	2.60e-01
205584_at	  0.0295	7.05e-01
205585_at	  0.1096	2.90e-01
205586_x_at	  0.1286	3.34e-01
205587_at	  0.2504	2.72e-01
205588_s_at	 -0.6114	4.63e-04
205592_at	  3.4413	1.54e-04
205593_s_at	  0.3136	1.74e-01
205595_at	  0.2706	5.31e-02
205597_at	 -0.2082	6.08e-02
205598_at	 -0.3102	3.36e-02
205599_at	  0.1056	5.68e-01
205600_x_at	  0.2749	8.46e-02
205601_s_at	  0.3531	2.74e-02
205604_at	  0.2116	1.28e-01
205609_at	 -0.1365	1.16e-01
205610_at	  0.3000	2.78e-01
205613_at	  0.1489	3.85e-01
205614_x_at	  0.4502	3.32e-02
205615_at	 -0.0197	8.68e-01
205616_at	  0.0231	7.76e-01
205617_at	  0.3680	3.46e-02
205618_at	  0.0100	9.33e-01
205619_s_at	  0.6959	3.82e-02
205622_at	 -0.2863	1.24e-01
205623_at	  0.2177	2.75e-01
205624_at	  0.2356	1.79e-01
205626_s_at	 -1.4436	3.57e-03
205627_at	  0.2136	2.98e-01
205629_s_at	  0.2084	1.56e-01
205636_at	  0.4091	9.81e-02
205638_at	  0.2805	2.17e-01
205639_at	  0.5662	6.86e-02
205641_s_at	  0.3919	2.79e-02
205645_at	  0.1982	1.38e-01
205646_s_at	 -0.2405	7.30e-02
205649_s_at	 -0.0170	8.72e-01
205650_s_at	  0.3247	1.08e-01
205651_x_at	  0.0468	6.67e-01
205654_at	  0.4025	9.82e-02
205655_at	 -0.0153	8.40e-01
205656_at	  0.3024	1.81e-01
205657_at	  0.3614	7.35e-02
205658_s_at	  0.2194	3.84e-01
205659_at	  0.2702	1.98e-01
205660_at	  0.1533	1.64e-01
205662_at	  0.0036	9.79e-01
205665_at	  0.0751	5.66e-01
205666_at	  0.5712	7.63e-02
205669_at	  0.1996	1.85e-01
205670_at	  0.4804	1.26e-01
205678_at	  0.0520	5.53e-01
205679_x_at	  0.2953	1.32e-01
205680_at	 -0.0842	6.02e-01
205682_x_at	  0.1918	1.70e-01
205683_x_at	  0.1206	4.16e-01
205684_s_at	  0.2041	8.05e-02
205685_at	  0.3001	8.25e-02
205688_at	  0.1488	2.39e-01
205692_s_at	  0.3842	9.72e-02
205694_at	 -0.0335	6.71e-01
205698_s_at	  0.0730	7.04e-01
205701_at	  0.2714	3.42e-02
205703_at	  0.1564	2.98e-01
205704_s_at	 -0.9600	4.48e-04
205706_s_at	  0.2196	1.59e-01
205708_s_at	  0.4909	6.27e-02
205709_s_at	  0.2370	4.11e-02
205712_at	  0.1543	5.86e-01
205713_s_at	  0.4550	5.78e-02
205728_at	  0.6343	2.16e-02
205729_at	  0.3072	1.02e-01
205730_s_at	  0.1374	2.01e-01
205731_s_at	  0.4151	2.44e-02
205732_s_at	  0.1503	6.22e-02
205733_at	 -0.3458	3.48e-02
205734_s_at	  0.1462	3.61e-01
205735_s_at	  0.1210	8.50e-02
205740_s_at	 -0.1509	4.96e-01
205741_s_at	  0.4388	5.96e-02
205742_at	  2.1639	3.60e-03
205743_at	  0.1839	3.10e-01
205744_at	  0.2361	1.96e-01
205746_s_at	  0.1104	6.57e-01
205748_s_at	 -0.8073	1.53e-03
205750_at	  0.1883	8.85e-02
205752_s_at	  0.2766	1.02e-01
205754_at	  0.2919	1.38e-01
205755_at	 -0.0693	7.32e-01
205756_s_at	  0.2107	3.72e-01
205758_at	  0.3186	2.24e-01
205759_s_at	  0.3779	6.11e-02
205760_s_at	  0.9818	1.03e-03
205761_s_at	 -0.2972	3.21e-01
205763_s_at	 -0.6335	2.06e-03
205764_at	  0.3414	2.32e-02
205768_s_at	  0.3125	1.50e-02
205769_at	  0.5341	1.12e-01
205772_s_at	  0.3256	7.47e-02
205773_at	  0.2176	7.73e-02
205774_at	 -0.7477	1.65e-02
205776_at	  0.1888	1.91e-01
205779_at	  0.3697	1.50e-01
205781_at	  0.5479	1.13e-02
205782_at	  0.2048	6.12e-02
205783_at	  0.1380	3.23e-01
205784_x_at	  0.3828	4.13e-03
205786_s_at	 -0.0970	1.21e-01
205787_x_at	 -0.0874	2.98e-01
205789_at	 -0.0603	4.39e-01
205790_at	  0.0795	5.53e-01
205791_x_at	  0.1469	3.43e-01
205792_at	  0.2779	8.12e-02
205795_at	  0.1276	1.72e-01
205796_at	 -0.0069	9.65e-01
205799_s_at	  0.0801	4.15e-01
205803_s_at	  0.2583	1.19e-01
205804_s_at	  0.0589	3.97e-01
205806_at	  0.1749	2.33e-01
205807_s_at	  0.7385	2.72e-03
205812_s_at	 -0.5745	6.35e-03
205815_at	  0.0579	3.83e-01
205817_at	 -0.1602	2.46e-01
205818_at	 -0.1262	6.60e-01
205819_at	  0.1392	2.04e-01
205820_s_at	 -0.0288	8.34e-01
205821_at	  0.0892	4.28e-01
205823_at	  0.1497	1.61e-01
205824_at	  0.2856	4.92e-02
205825_at	  0.0164	9.09e-01
205826_at	  0.0987	5.29e-01
205829_at	 -0.3489	1.48e-01
205833_s_at	  0.1307	5.17e-01
205836_s_at	 -0.2126	7.89e-02
205838_at	  2.0906	1.39e-03
205841_at	  0.4776	3.26e-02
205842_s_at	  0.9705	2.26e-02
205844_at	  0.0959	3.41e-01
205845_at	  0.2954	9.25e-02
205849_s_at	  0.3745	6.81e-02
205851_at	 -0.1477	2.97e-01
205854_at	 -0.1138	3.88e-01
205857_at	  0.1639	3.54e-01
205860_x_at	  0.3752	6.47e-02
205861_at	  0.2606	7.67e-02
205867_at	  0.1324	1.18e-01
205868_s_at	 -0.3347	3.22e-02
205869_at	  0.3017	8.90e-02
205870_at	  0.2778	3.36e-02
205871_at	 -0.0778	2.39e-01
205872_x_at	 -2.9378	9.24e-05
205873_at	  0.0654	6.27e-01
205875_s_at	  0.2389	4.59e-02
205876_at	 -0.0571	4.74e-01
205880_at	  0.3941	1.51e-01
205884_at	  0.2275	1.94e-01
205885_s_at	  0.1074	2.82e-01
205886_at	  0.2069	1.80e-01
205888_s_at	  0.4584	9.87e-02
205891_at	  0.5656	2.25e-02
205893_at	 -0.0141	2.11e-01
205894_at	  0.4501	9.13e-02
205895_s_at	 -1.4482	3.67e-04
205896_at	  2.6117	1.39e-03
205897_at	  0.5520	5.13e-02
205902_at	  0.1501	3.10e-02
205905_s_at	 -0.2805	6.81e-02
205907_s_at	  0.1878	2.58e-01
205908_s_at	  0.1809	1.00e-01
205910_s_at	  0.1404	2.74e-01
205911_at	  0.2846	1.48e-01
205912_at	  0.1989	1.77e-01
205913_at	  0.2640	1.53e-01
205914_s_at	  0.4622	3.92e-02
205915_x_at	  0.2479	3.12e-02
205916_at	  0.5866	7.52e-02
205919_at	  1.3531	5.70e-06
205920_at	 -0.6291	2.64e-04
205921_s_at	 -0.0805	1.45e-02
205922_at	  0.1081	3.29e-01
205927_s_at	  0.5844	5.92e-02
205931_s_at	  0.1484	1.52e-01
205933_at	  0.0181	8.81e-01
205938_at	  0.2000	2.31e-01
205941_s_at	  0.2169	3.05e-01
205942_s_at	 -1.0997	1.79e-04
205943_at	  0.1512	2.31e-01
205945_at	  0.1535	5.74e-02
205948_at	  0.4695	1.20e-01
205949_at	  0.2576	3.88e-02
205950_s_at	  0.7990	3.60e-02
205953_at	  0.0002	9.96e-01
205956_x_at	 -0.1176	2.87e-02
205957_at	  0.2532	1.65e-01
205960_at	  0.2649	1.58e-01
205961_s_at	 -0.2939	5.35e-03
205968_at	  0.3055	1.01e-01
205969_at	  0.4281	5.22e-02
205970_at	  0.1089	2.94e-01
205978_at	  0.0776	1.45e-01
205979_at	  0.0475	5.29e-01
205982_x_at	  0.3601	4.05e-02
205983_at	 -0.0220	8.45e-01
205984_at	  0.0838	3.78e-01
205986_at	  0.4062	3.07e-02
205989_s_at	  0.1159	9.29e-02
205990_s_at	  0.2536	9.99e-02
205992_s_at	  0.2452	4.30e-02
205993_s_at	  0.2934	1.44e-01
205995_x_at	 -0.1013	5.26e-01
205996_s_at	 -0.9134	4.40e-03
205997_at	  0.0669	6.54e-01
205999_x_at	  0.0710	5.46e-01
206000_at	  0.2580	1.15e-01
206002_at	  0.1539	1.22e-01
206003_at	 -0.0615	2.81e-01
206004_at	  0.3818	6.06e-02
206005_s_at	  0.2112	3.09e-01
206009_at	  0.4083	6.48e-02
206010_at	  0.0115	9.21e-01
206013_s_at	  0.4764	2.74e-02
206014_at	  0.2326	1.29e-01
206015_s_at	 -0.0912	6.12e-01
206017_at	  0.1555	1.41e-01
206019_at	  0.2630	8.90e-02
206022_at	  0.2920	2.15e-01
206024_at	  0.1654	2.27e-01
206026_s_at	  0.1765	4.80e-01
206029_at	 -0.0209	8.55e-01
206033_s_at	  0.2548	5.50e-02
206034_at	  0.2456	2.33e-01
206035_at	  0.2763	1.81e-01
206036_s_at	 -0.0659	3.35e-01
206038_s_at	 -0.0198	8.94e-01
206039_at	  0.4042	1.54e-01
206042_x_at	  0.0231	7.44e-01
206043_s_at	  0.0834	7.01e-01
206044_s_at	 -0.0342	8.52e-01
206045_s_at	  0.1218	2.30e-01
206048_at	  0.2528	4.21e-02
206050_s_at	  0.6110	1.90e-02
206051_at	  0.1064	4.42e-01
206054_at	 -0.0149	8.98e-01
206055_s_at	 -0.8659	1.55e-01
206056_x_at	 -0.0954	5.51e-01
206060_s_at	 -0.2505	2.30e-01
206063_x_at	  0.1204	2.03e-01
206067_s_at	 -1.1009	1.10e-03
206068_s_at	  0.1404	1.12e-01
206070_s_at	  0.1563	1.20e-01
206072_at	  0.1192	4.47e-01
206077_at	  2.7200	1.90e-04
206081_at	 -0.0243	8.89e-01
206088_at	  0.1538	2.47e-01
206093_x_at	  1.1027	1.69e-03
206094_x_at	 -0.0115	9.32e-01
206097_at	  0.1187	1.81e-01
206100_at	  0.1464	1.04e-01
206101_at	 -0.0532	5.27e-01
206102_at	  0.1686	5.77e-01
206104_at	  0.2127	3.05e-01
206105_at	  0.1742	1.91e-01
206107_at	 -0.0188	9.26e-01
206110_at	  0.8097	3.04e-02
206115_at	 -0.1735	9.97e-02
206116_s_at	  0.3195	1.77e-02
206118_at	  0.4589	1.39e-01
206119_at	  0.1314	2.54e-01
206120_at	 -0.6782	2.50e-02
206121_at	  0.7342	6.41e-02
206122_at	  0.1851	3.16e-02
206123_at	  0.3780	3.43e-02
206124_s_at	  0.0666	6.21e-01
206125_s_at	  0.2577	1.40e-01
206126_at	  0.0247	8.61e-01
206128_at	  0.5039	7.08e-02
206130_s_at	  0.0988	4.16e-01
206132_at	  0.1681	3.48e-01
206133_at	  0.1483	1.44e-01
206134_at	  0.2404	1.12e-01
206135_at	  0.3346	3.19e-02
206136_at	  0.4753	4.49e-02
206139_at	  0.0952	2.28e-02
206141_at	  0.2311	1.24e-01
206142_at	  0.0849	3.47e-01
206143_at	  0.1068	3.17e-01
206145_at	  0.8765	2.36e-02
206146_s_at	  0.8209	9.53e-04
206147_x_at	 -0.0115	7.88e-01
206148_at	  0.3755	2.34e-02
206149_at	  0.2505	2.95e-01
206150_at	  0.4193	4.34e-02
206151_x_at	  0.1976	9.38e-02
206153_at	  0.3404	1.77e-01
206154_at	 -0.0123	9.32e-01
206155_at	  0.3827	8.63e-02
206156_at	  0.3007	9.43e-02
206158_s_at	 -0.6747	8.73e-03
206160_at	  0.1334	3.54e-02
206161_s_at	  0.1792	1.20e-01
206163_at	  0.0473	4.61e-01
206164_at	  0.2239	1.53e-01
206165_s_at	  0.3923	1.05e-01
206166_s_at	  0.2649	2.30e-01
206168_at	  0.1794	4.36e-01
206170_at	  0.2361	3.34e-01
206176_at	  0.2911	1.29e-01
206177_s_at	  0.0840	5.63e-01
206178_at	  0.4400	9.65e-02
206180_x_at	  0.1749	1.89e-01
206181_at	 -0.2663	5.76e-02
206182_at	  0.0090	8.80e-01
206185_at	  0.0293	8.08e-01
206186_at	  0.1998	2.77e-01
206188_at	  0.0077	8.80e-01
206189_at	  0.3731	1.45e-01
206191_at	  0.2493	1.46e-01
206195_x_at	  0.2487	8.21e-02
206197_at	  0.2453	1.82e-01
206201_s_at	  0.0432	1.94e-01
206202_at	 -0.0290	5.94e-01
206203_at	  0.3860	5.62e-02
206205_at	 -0.3806	1.96e-02
206207_at	 -0.0374	7.65e-01
206208_at	 -0.0590	3.61e-01
206210_s_at	 -0.0368	8.43e-01
206212_at	  0.3946	6.50e-02
206213_at	  0.3580	1.63e-01
206221_at	 -0.2368	5.51e-02
206224_at	  0.3355	7.15e-02
206225_at	  0.3709	1.26e-01
206226_at	  0.4277	1.47e-01
206228_at	  0.0347	6.25e-01
206230_at	  0.2369	7.56e-02
206231_at	  0.1297	3.60e-01
206238_s_at	 -0.0769	7.05e-01
206240_s_at	  0.1260	3.55e-01
206241_at	  0.0190	8.55e-01
206242_at	  0.2160	2.37e-01
206244_at	  0.1619	5.66e-02
206246_at	  0.1252	1.82e-01
206248_at	  0.2424	1.44e-01
206251_s_at	  0.1407	5.74e-02
206253_at	  0.2537	1.66e-01
206254_at	 -0.0437	5.59e-01
206256_at	  0.2419	1.72e-01
206257_at	  0.1173	3.52e-01
206259_at	 -0.0241	7.54e-01
206263_at	  0.5551	9.98e-02
206267_s_at	 -0.3218	6.87e-02
206270_at	  0.2729	3.05e-02
206271_at	  0.1746	2.47e-01
206272_at	  0.3955	5.31e-02
206278_at	  0.3043	7.35e-02
206280_at	  0.1906	1.57e-01
206285_at	  0.1902	1.64e-01
206287_s_at	  0.0656	4.23e-01
206288_at	  0.3676	1.11e-01
206289_at	  0.1160	2.27e-01
206292_s_at	  0.1419	2.68e-01
206294_at	  0.2186	1.32e-01
206296_x_at	  0.3557	9.64e-02
206297_at	  0.2193	2.63e-01
206298_at	 -0.5762	1.75e-02
206299_at	  0.3964	2.56e-02
206300_s_at	 -0.3282	1.59e-01
206302_s_at	 -0.1003	6.56e-01
206304_at	  0.3766	6.80e-02
206305_s_at	  0.1489	3.54e-02
206306_at	  0.0950	5.32e-01
206309_at	  0.0315	8.78e-01
206310_at	  0.1749	2.12e-01
206312_at	  0.4492	4.81e-02
206313_at	  0.4647	4.02e-02
206314_at	  0.0601	5.05e-01
206315_at	 -0.0002	9.97e-01
206316_s_at	  0.1875	3.44e-01
206317_s_at	 -0.0774	6.38e-01
206321_at	  0.2446	5.54e-02
206325_at	  0.1100	4.07e-01
206327_s_at	  0.1761	2.19e-01
206328_at	  0.3451	9.61e-02
206330_s_at	  0.1370	1.77e-01
206331_at	  0.4852	1.19e-01
206333_at	  0.0952	4.68e-01
206334_at	  0.1102	4.01e-01
206335_at	  0.6767	7.59e-03
206336_at	  0.0737	3.37e-01
206337_at	 -0.0095	9.37e-01
206340_at	  0.2328	1.11e-01
206341_at	  0.0340	8.11e-01
206342_x_at	 -0.3888	3.24e-02
206343_s_at	  0.2770	1.34e-01
206345_s_at	  0.0055	9.29e-01
206347_at	  0.3633	1.29e-01
206348_s_at	  0.0198	8.62e-01
206350_at	  0.0027	9.11e-01
206351_s_at	 -0.0387	6.84e-01
206352_s_at	  0.1326	1.00e-01
206354_at	  0.2359	1.10e-01
206356_s_at	  0.1278	4.81e-01
206365_at	  0.1173	3.86e-01
206366_x_at	  0.4566	2.94e-02
206368_at	  0.1180	1.91e-01
206372_at	  0.4161	1.06e-01
206373_at	  0.5421	5.79e-02
206377_at	  0.2194	9.32e-02
206378_at	 -0.0320	7.18e-01
206380_s_at	  0.0908	5.31e-01
206381_at	  0.1530	3.62e-01
206384_at	  0.5816	4.92e-02
206387_at	  0.3483	8.65e-02
206388_at	  0.4557	6.87e-02
206389_s_at	 -0.0669	1.50e-01
206392_s_at	  0.0174	8.80e-01
206394_at	 -0.0994	5.89e-02
206398_s_at	 -0.2587	6.52e-02
206402_s_at	  0.2989	7.22e-02
206403_at	  0.3398	1.94e-01
206404_at	  0.2505	1.92e-01
206405_x_at	 -0.2402	2.77e-01
206407_s_at	  0.2968	4.93e-02
206408_at	  0.3442	2.04e-01
206409_at	  0.0736	1.64e-01
206410_at	  0.0945	3.42e-01
206411_s_at	  0.0713	4.43e-01
206412_at	 -0.0877	2.31e-01
206414_s_at	 -0.0829	4.94e-01
206416_at	  0.2165	1.17e-02
206417_at	  0.1135	8.39e-02
206418_at	  0.0420	5.82e-01
206419_at	  0.2911	5.54e-02
206422_at	  0.2402	1.24e-01
206423_at	  0.4600	4.15e-02
206428_s_at	  0.1750	1.71e-01
206429_at	  0.3215	6.58e-02
206430_at	  0.3876	6.50e-02
206431_x_at	  0.2257	1.84e-01
206434_at	  0.0515	2.81e-01
206435_at	  0.2644	2.41e-01
206436_at	  0.1686	3.51e-01
206437_at	  0.4162	8.53e-02
206439_at	 -0.0062	9.57e-01
206443_at	  0.0509	7.00e-01
206446_s_at	  0.2809	9.55e-02
206448_at	  0.1603	3.99e-01
206449_s_at	  0.0746	2.96e-01
206451_at	 -0.0353	7.90e-01
206455_s_at	  0.4371	6.77e-02
206458_s_at	  0.0332	5.64e-01
206459_s_at	  0.1909	1.51e-01
206461_x_at	  0.0101	7.63e-01
206462_s_at	  0.2290	1.37e-01
206463_s_at	 -0.2801	4.64e-02
206464_at	  0.2858	1.34e-01
206466_at	 -0.0594	5.76e-01
206470_at	 -0.0529	4.91e-01
206471_s_at	  0.1397	9.69e-02
206474_at	  0.1268	1.08e-01
206475_x_at	  0.4156	9.16e-02
206477_s_at	  0.2987	5.75e-02
206478_at	 -0.0305	8.01e-01
206479_at	  0.1565	1.49e-01
206480_at	  0.1901	2.50e-01
206481_s_at	  0.2221	5.39e-02
206482_at	  0.2017	3.10e-01
206483_at	  0.3191	5.64e-02
206484_s_at	  0.5624	8.07e-02
206485_at	  0.4931	6.99e-02
206487_at	  0.0218	8.04e-01
206489_s_at	  0.1614	3.34e-02
206491_s_at	  0.8665	3.29e-03
206492_at	  0.0689	7.06e-01
206493_at	  0.2055	1.36e-02
206494_s_at	  0.2717	4.05e-02
206496_at	  0.2986	4.61e-02
206498_at	  0.0160	8.80e-01
206500_s_at	  0.0087	9.56e-01
206504_at	  0.0239	4.88e-01
206505_at	 -0.0259	7.56e-01
206508_at	  0.3163	2.57e-02
206511_s_at	  0.0804	2.56e-01
206513_at	  0.0522	6.42e-01
206514_s_at	  0.1482	2.85e-01
206515_at	  0.2199	1.93e-02
206517_at	  0.3621	5.77e-02
206519_x_at	  0.1241	3.30e-01
206521_s_at	 -0.0961	3.24e-01
206522_at	  0.2541	1.36e-01
206523_at	  0.1855	7.48e-02
206527_at	  0.3955	8.10e-02
206528_at	  0.1269	3.94e-01
206529_x_at	 -0.0886	2.80e-01
206532_at	  0.1182	4.75e-01
206534_at	  0.3640	7.78e-02
206536_s_at	 -0.1686	2.19e-02
206543_at	  0.1638	9.31e-02
206544_x_at	 -0.0615	5.22e-01
206545_at	  0.3561	8.96e-02
206548_at	 -0.0842	3.69e-01
206549_at	  0.0413	3.22e-01
206551_x_at	 -0.1961	4.52e-02
206552_s_at	  0.0827	3.50e-01
206554_x_at	 -0.0240	8.88e-01
206555_s_at	 -0.4706	1.87e-01
206558_at	  0.3022	5.57e-02
206560_s_at	  0.2766	1.10e-01
206561_s_at	  0.1373	1.86e-01
206562_s_at	  0.0421	7.89e-01
206563_s_at	  0.4865	9.77e-02
206566_at	 -0.2046	6.86e-02
206572_x_at	  0.0907	5.33e-01
206573_at	  0.2722	1.62e-01
206577_at	  0.2732	1.13e-01
206578_at	  0.2526	3.99e-02
206580_s_at	  0.4157	4.20e-02
206584_at	  0.0548	7.64e-01
206585_at	  0.0296	7.16e-01
206587_at	 -0.0152	8.64e-01
206588_at	  0.3344	8.08e-02
206590_x_at	  0.3737	7.16e-02
206591_at	  0.2793	3.63e-02
206592_s_at	  0.1322	1.61e-01
206594_at	  0.0961	3.83e-01
206596_s_at	  0.4376	4.95e-02
206597_at	  0.1921	2.80e-01
206598_at	  0.1710	2.45e-02
206600_s_at	  0.2161	4.48e-02
206603_at	  0.3327	1.21e-01
206605_at	  0.3491	1.57e-01
206607_at	  0.2499	2.76e-01
206610_s_at	  0.1117	6.66e-02
206612_at	  0.2185	2.79e-01
206614_at	  0.3270	5.65e-02
206615_s_at	 -0.0119	9.28e-01
206616_s_at	  0.1884	7.80e-02
206617_s_at	  0.8058	1.14e-03
206618_at	  0.1720	2.51e-01
206622_at	  0.3293	1.43e-01
206627_s_at	  0.0420	7.10e-01
206628_at	  0.0556	7.15e-01
206629_at	  0.2801	1.04e-01
206630_at	  0.1187	1.77e-01
206631_at	 -0.0279	7.71e-01
206632_s_at	 -0.5627	4.91e-02
206634_at	  0.0144	9.11e-01
206635_at	  0.1172	4.20e-01
206636_at	  0.1547	2.10e-01
206640_x_at	 -0.1547	2.54e-02
206644_at	  0.1865	1.39e-01
206646_at	  0.1908	2.48e-01
206647_at	  3.7556	8.31e-04
206649_s_at	 -0.2550	1.29e-01
206654_s_at	 -0.0341	4.98e-01
206656_s_at	 -0.3951	6.84e-02
206658_at	  0.1160	3.63e-01
206659_at	  0.1193	6.07e-01
206661_at	 -0.1197	3.84e-01
206667_s_at	 -0.1658	9.52e-02
206669_at	 -0.3007	2.86e-02
206670_s_at	 -0.5265	6.01e-02
206678_at	  0.2551	1.56e-01
206680_at	  0.3144	6.35e-02
206684_s_at	  0.2142	8.56e-02
206685_at	  0.3705	1.70e-01
206686_at	  0.0584	6.60e-01
206687_s_at	  0.2390	1.24e-01
206688_s_at	 -0.0226	7.72e-01
206689_x_at	 -0.0353	7.91e-01
206690_at	  0.2101	4.08e-02
206693_at	  0.0015	9.88e-01
206694_at	  0.2937	8.23e-02
206695_x_at	  0.2121	1.75e-01
206696_at	  0.0776	5.52e-02
206699_x_at	 -0.1964	2.76e-01
206700_s_at	  0.3195	1.13e-01
206703_at	  0.3809	4.51e-02
206704_at	  0.2327	2.05e-01
206705_at	  0.4839	5.21e-02
206706_at	  0.1299	4.28e-01
206708_at	 -0.0582	6.36e-01
206709_x_at	  0.3872	4.75e-02
206710_s_at	  0.2095	1.40e-01
206711_at	  0.3850	1.29e-01
206713_at	  0.4543	1.43e-01
206714_at	  0.0883	5.33e-02
206715_at	  0.1830	1.62e-01
206716_at	  0.1411	1.65e-01
206719_at	  0.3287	2.01e-01
206721_at	  0.2330	1.71e-01
206722_s_at	 -0.0074	9.50e-01
206724_at	 -0.2207	1.64e-01
206727_at	 -0.0706	2.59e-01
206728_at	  0.1457	2.47e-01
206729_at	  0.0657	6.92e-01
206730_at	  0.3303	1.58e-01
206731_at	  0.5119	7.71e-02
206732_at	  0.0843	4.90e-01
206733_at	 -0.0978	4.31e-01
206734_at	 -0.0697	5.82e-01
206735_at	  0.0983	5.55e-02
206736_x_at	  0.2500	1.48e-01
206738_at	  0.2730	8.91e-02
206741_at	  0.3065	1.89e-01
206745_at	  0.3445	1.02e-01
206746_at	 -0.0617	5.94e-01
206747_at	  0.1598	8.44e-02
206748_s_at	 -0.4157	1.92e-02
206753_at	  0.5037	9.77e-02
206756_at	  0.1815	3.06e-01
206757_at	  0.2894	7.03e-02
206758_at	  0.0747	5.46e-01
206760_s_at	  0.2842	1.62e-01
206766_at	  0.1493	1.86e-01
206767_at	  0.2544	1.65e-01
206768_at	  0.2842	7.05e-02
206771_at	  0.1866	1.11e-01
206773_at	  0.1031	1.85e-01
206776_x_at	  0.7293	1.14e-01
206777_s_at	 -0.2508	5.15e-02
206778_at	  0.3471	4.74e-02
206781_at	  0.3076	6.07e-02
206784_at	  0.2415	1.48e-01
206786_at	  0.0630	5.51e-01
206788_s_at	 -1.0498	4.36e-04
206790_s_at	  0.4989	1.09e-01
206791_s_at	  0.3677	6.67e-02
206792_x_at	 -0.0096	7.33e-01
206795_at	  0.0715	4.13e-01
206796_at	  0.0177	9.21e-01
206797_at	  0.2189	1.99e-01
206801_at	  0.0560	4.85e-01
206804_at	  0.2460	5.05e-02
206805_at	  0.5650	4.72e-02
206808_at	 -0.0761	2.91e-01
206810_at	  0.0783	4.78e-01
206811_at	  0.0642	5.20e-01
206812_at	  0.3957	1.16e-01
206813_at	  0.2553	1.35e-01
206814_at	  0.2576	2.19e-01
206818_s_at	  0.4471	9.22e-03
206819_at	  0.2486	1.25e-01
206822_s_at	  0.3796	1.18e-01
206823_at	  0.1936	1.46e-01
206824_at	 -0.0594	5.27e-01
206825_at	  0.5413	1.07e-01
206826_at	  0.1276	1.48e-01
206828_at	  0.0104	8.58e-01
206832_s_at	  0.0783	3.58e-01
206833_s_at	  0.1875	7.63e-02
206834_at	  1.9561	3.64e-04
206836_at	  0.2876	8.81e-02
206837_at	  0.2675	6.99e-02
206839_at	  0.3077	1.37e-01
206840_at	  0.1650	2.20e-01
206842_at	  0.4894	3.46e-02
206843_at	 -0.0441	6.08e-01
206846_s_at	  0.1256	2.04e-02
206847_s_at	  0.0982	4.31e-01
206848_at	 -0.2225	1.29e-01
206849_at	  0.3805	3.75e-02
206851_at	  0.2223	1.72e-01
206852_at	  0.0441	4.84e-01
206854_s_at	 -0.4148	1.38e-01
206856_at	  0.0933	4.45e-01
206858_s_at	 -0.0329	7.27e-01
206860_s_at	 -0.0494	7.14e-01
206861_s_at	 -0.5752	6.95e-03
206869_at	  0.6016	7.90e-02
206870_at	  0.1979	6.95e-02
206871_at	 -0.0215	7.91e-01
206872_at	  0.2634	1.58e-01
206874_s_at	  0.3967	1.54e-01
206875_s_at	  0.2276	3.89e-01
206876_at	  0.0094	8.85e-01
206877_at	  0.1175	1.42e-01
206878_at	 -0.0244	8.63e-01
206880_at	  0.4985	7.77e-02
206882_at	  0.2381	1.70e-01
206883_x_at	  0.3430	6.11e-02
206885_x_at	  0.1562	1.66e-01
206887_at	  0.1250	4.51e-02
206888_s_at	  0.1905	1.80e-01
206889_at	  0.2427	5.41e-02
206891_at	  0.3106	1.66e-01
206896_s_at	  0.0015	9.84e-01
206897_at	  0.3368	1.17e-01
206903_at	  0.1516	2.06e-01
206905_s_at	  0.3793	7.63e-02
206906_at	  0.1697	2.83e-01
206909_at	  0.0036	9.68e-01
206910_x_at	  0.0911	5.21e-01
206914_at	  0.2888	1.24e-01
206915_at	  0.3257	8.29e-03
206917_at	  0.8185	3.20e-02
206919_at	  0.2152	1.40e-01
206923_at	  0.0409	1.89e-02
206926_s_at	  0.1726	6.67e-02
206928_at	  0.1747	2.16e-01
206930_at	  0.3136	1.82e-01
206932_at	  0.0692	6.96e-02
206936_x_at	 -0.0546	5.69e-01
206937_at	  1.9651	1.06e-03
206939_at	  0.2033	2.33e-01
206940_s_at	  0.1973	1.57e-01
206942_s_at	  0.0162	8.83e-01
206943_at	  0.1589	3.27e-01
206944_at	  0.2950	9.16e-02
206945_at	  0.1227	5.20e-01
206957_at	  0.1044	1.82e-01
206958_s_at	  0.0641	7.65e-01
206961_s_at	 -0.0728	5.34e-01
206966_s_at	  0.2746	1.79e-01
206967_at	 -0.0050	9.72e-01
206971_at	  0.1935	4.66e-01
206976_s_at	 -0.6719	1.88e-02
206977_at	  0.1724	1.79e-01
206979_at	  0.3774	7.37e-02
206983_at	  0.1340	2.96e-01
206985_at	  0.4798	9.21e-02
